Name,Count,Set,Collector Number,Foil,MTG Mate Price,MTG Mate Quantity,MTG Mate Link
Chord of Calling,1,,,,900.0,2.0,https://www.mtgmate.com.au/cards/Chord_of_Calling/RVR/134
Deadly Plot,1,J22,22.0,,200.0,1.0,https://www.mtgmate.com.au/cards/Deadly_Plot/FDN/520
Dropkick Bomber,1,fdn,537.0,,1100.0,3.0,https://www.mtgmate.com.au/cards/Dropkick_Bomber/J25/13
Exemplar of Light,1,fdn,11.0,,600.0,4.0,https://www.mtgmate.com.au/cards/Exemplar_of_Light/FDN/11
Foil,1,,,,7500.0,1.0,https://www.mtgmate.com.au/cards/Foil/MB2/243:foil
Fury,5,,,,800.0,4.0,https://www.mtgmate.com.au/cards/Fury/MH2/126
Golgari Guildgate,2,fdn,689.0,foil,60.0,1.0,https://www.mtgmate.com.au/cards/Golgari_Guildgate/RVR/402
Massacre Wurm,1,J22,441.0,,,,
"Muldrotha, the Gravetide",1,2X2,384.0,,1200.0,4.0,"https://www.mtgmate.com.au/cards/Muldrotha,_the_Gravetide/FDN/243"
Sire of Seven Deaths,1,fdn,292.0,,5700.0,4.0,https://www.mtgmate.com.au/cards/Sire_of_Seven_Deaths/FDN/1
Spinner of Souls,1,fdn,112.0,,200.0,4.0,https://www.mtgmate.com.au/cards/Spinner_of_Souls/FDN/112
Tree of Tales,1,,,,300.0,3.0,https://www.mtgmate.com.au/cards/Tree_of_Tales/DSC/319
